               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 154,              0.0142,            0.023681,          0.00035534,             0.92453,             0.91206,             0.91021,             0.58825,            0.033512,            0.089061,          0.00032324,           0.0021717,           0.0021717,           0.0021717
                 155,            0.013717,            0.023932,            0.000234,             0.92245,             0.91128,             0.91001,             0.58284,             0.03362,            0.089796,          0.00032663,           0.0021245,           0.0021245,           0.0021245
                 156,            0.013797,            0.023285,          0.00023585,             0.92017,             0.90718,             0.91346,             0.59222,            0.033546,            0.089976,          0.00033349,           0.0020782,           0.0020782,           0.0020782
                 157,            0.013963,            0.024077,          0.00023764,             0.92329,             0.91047,             0.91982,             0.60366,            0.033451,            0.088585,          0.00035676,           0.0020327,           0.0020327,           0.0020327
                 158,            0.013716,            0.024063,           0.0002544,             0.92354,             0.91349,             0.92148,             0.61446,            0.033505,            0.088845,           0.0003422,           0.0019881,           0.0019881,           0.0019881
                 159,            0.013449,            0.022853,          0.00014156,             0.91637,             0.91907,             0.92084,             0.60783,            0.033292,            0.088651,          0.00036523,           0.0019443,           0.0019443,           0.0019443
                 160,            0.013783,            0.022687,           0.0001849,             0.91064,             0.92395,             0.92593,             0.59135,             0.03334,             0.09048,          0.00038069,           0.0019014,           0.0019014,           0.0019014
                 161,            0.013079,            0.022275,          0.00022398,             0.91209,             0.92383,             0.91965,             0.60879,            0.033354,            0.091944,            0.000399,           0.0018594,           0.0018594,           0.0018594
                 162,            0.014006,            0.023833,          0.00024336,             0.91039,              0.9292,             0.91813,              0.5912,            0.033511,            0.092877,          0.00036088,           0.0018183,           0.0018183,           0.0018183
                 163,            0.013106,            0.021961,           0.0001773,             0.91745,             0.91955,             0.91899,             0.59706,            0.033485,            0.091887,          0.00038494,           0.0017781,           0.0017781,           0.0017781
                 164,            0.013201,            0.023948,          0.00019566,             0.91643,             0.92436,             0.91899,             0.60626,            0.033387,            0.092279,          0.00036016,           0.0017389,           0.0017389,           0.0017389
                 165,            0.013371,            0.022364,          0.00015617,             0.90376,              0.9294,              0.9168,             0.60426,            0.033292,            0.092963,          0.00034116,           0.0017005,           0.0017005,           0.0017005
                 166,            0.013315,            0.023753,          0.00020314,             0.91569,             0.92965,             0.92328,             0.60017,            0.033371,            0.092041,          0.00036231,           0.0016631,           0.0016631,           0.0016631
                 167,            0.013292,             0.02241,          0.00021363,             0.91477,             0.92191,             0.91535,             0.60998,            0.033592,            0.092459,            0.000399,           0.0016267,           0.0016267,           0.0016267
                 168,            0.013272,            0.023082,          0.00018586,             0.91849,             0.92443,              0.9182,             0.60536,             0.03353,            0.091484,           0.0004263,           0.0015912,           0.0015912,           0.0015912
                 169,            0.013035,            0.023601,          0.00028016,             0.90674,              0.9282,               0.916,             0.61145,            0.033489,            0.091919,          0.00045835,           0.0015566,           0.0015566,           0.0015566
                 170,            0.012623,            0.021663,          0.00019322,             0.91022,             0.92353,             0.91178,             0.58874,            0.033443,            0.094035,          0.00048056,           0.0015231,           0.0015231,           0.0015231
                 171,            0.012731,            0.023506,          0.00022778,              0.9082,             0.91648,              0.9062,             0.59616,            0.033582,            0.094403,          0.00046805,           0.0014905,           0.0014905,           0.0014905
                 172,            0.012848,            0.021906,          0.00022102,             0.90555,             0.91758,             0.91172,             0.61608,            0.033459,            0.095696,          0.00043658,           0.0014589,           0.0014589,           0.0014589
                 173,            0.012803,            0.021546,          0.00017989,             0.90725,             0.91712,             0.91114,             0.62223,            0.033509,            0.095137,          0.00040757,           0.0014283,           0.0014283,           0.0014283
                 174,            0.012783,            0.021476,          0.00023045,             0.91765,             0.91269,             0.91795,             0.62232,            0.033422,            0.095695,          0.00043972,           0.0013987,           0.0013987,           0.0013987
                 175,            0.012784,            0.021802,          0.00018046,             0.90441,             0.92434,             0.91424,             0.61536,            0.033402,             0.09612,          0.00047431,           0.0013701,           0.0013701,           0.0013701
                 176,            0.012986,            0.022207,           0.0002133,             0.90798,             0.92295,             0.91248,             0.62188,            0.033311,            0.095557,          0.00046307,           0.0013425,           0.0013425,           0.0013425
                 177,            0.012953,            0.022076,          0.00017225,             0.90294,             0.93022,             0.91201,             0.61028,            0.033432,             0.09406,          0.00045106,            0.001316,            0.001316,            0.001316
                 178,            0.012797,            0.023019,           0.0001803,             0.91638,             0.91504,             0.91203,             0.61167,            0.033494,            0.092201,          0.00043302,           0.0012905,           0.0012905,           0.0012905
                 179,             0.01256,            0.022424,          0.00018473,             0.92049,             0.91048,             0.91662,             0.60575,            0.033539,            0.093815,          0.00047102,            0.001266,            0.001266,            0.001266
                 180,            0.012612,             0.02336,          0.00041521,             0.91397,             0.91706,             0.91597,             0.60449,            0.033539,            0.094356,           0.0004398,           0.0012426,           0.0012426,           0.0012426
                 181,            0.012462,            0.021057,           0.0001701,             0.90939,             0.91934,             0.91962,             0.60606,            0.033567,            0.094816,          0.00048524,           0.0012202,           0.0012202,           0.0012202
                 182,            0.012119,            0.020804,           0.0002972,             0.91341,             0.92138,             0.92031,             0.62336,            0.033545,            0.094716,          0.00047021,           0.0011989,           0.0011989,           0.0011989
                 183,            0.012243,            0.021691,          0.00019429,             0.90988,             0.92436,             0.91645,             0.60795,            0.033473,             0.09494,          0.00044915,           0.0011787,           0.0011787,           0.0011787
                 184,             0.01263,            0.021851,          0.00016171,              0.9112,             0.91862,             0.91266,             0.62215,            0.033243,            0.093171,          0.00047938,           0.0011595,           0.0011595,           0.0011595
                 185,            0.012263,            0.021949,          0.00023994,             0.91067,              0.9177,             0.91283,             0.62156,            0.033221,            0.094467,          0.00045854,           0.0011414,           0.0011414,           0.0011414
                 186,            0.012548,            0.020302,          0.00020736,             0.90807,             0.91733,             0.90856,             0.60974,            0.033442,            0.095508,           0.0004653,           0.0011243,           0.0011243,           0.0011243
                 187,            0.012273,            0.022112,          0.00018448,             0.92147,              0.9103,             0.91675,             0.62285,            0.033545,            0.096849,          0.00046278,           0.0011084,           0.0011084,           0.0011084
                 188,             0.01216,            0.021117,          0.00016258,             0.90912,             0.92837,             0.92049,             0.60722,             0.03353,            0.097379,          0.00044947,           0.0010935,           0.0010935,           0.0010935
                 189,            0.012324,            0.020811,          0.00014069,             0.91533,             0.92985,              0.9222,             0.60076,            0.033508,            0.096804,          0.00040431,           0.0010797,           0.0010797,           0.0010797
                 190,            0.011998,             0.02258,          0.00042897,             0.91951,             0.92681,             0.91957,             0.61503,            0.033178,            0.095685,          0.00035956,            0.001067,            0.001067,            0.001067
                 191,            0.012596,            0.021946,           0.0001734,             0.91641,             0.92436,             0.91482,              0.6071,            0.033329,              0.0951,           0.0003663,           0.0010554,           0.0010554,           0.0010554
                 192,            0.012305,            0.022304,          0.00033864,              0.9145,             0.92835,             0.91603,             0.60595,            0.033485,            0.094716,          0.00037677,           0.0010449,           0.0010449,           0.0010449
                 193,            0.012104,            0.021342,          0.00012482,             0.91005,             0.93549,             0.91634,             0.60547,            0.033402,            0.095569,          0.00043786,           0.0010355,           0.0010355,           0.0010355
                 194,            0.012062,            0.020831,          0.00025527,              0.9112,             0.93365,             0.91523,             0.61354,             0.03341,            0.095648,          0.00044751,           0.0010272,           0.0010272,           0.0010272
                 195,            0.011871,            0.021339,          0.00012578,             0.92109,             0.91505,             0.91446,             0.61906,            0.033653,            0.097055,          0.00044832,             0.00102,             0.00102,             0.00102
                 196,            0.011845,             0.02172,          0.00023464,             0.91598,             0.92755,             0.91271,             0.59295,            0.033447,             0.09728,          0.00042464,           0.0010139,           0.0010139,           0.0010139
                 197,            0.012199,            0.020377,          0.00013624,             0.91417,             0.91754,             0.91107,             0.59576,            0.033503,            0.096909,          0.00041062,           0.0010089,           0.0010089,           0.0010089
                 198,            0.012219,            0.021096,          0.00014912,             0.91327,              0.9306,             0.92032,             0.61559,            0.033393,             0.09859,          0.00041403,            0.001005,            0.001005,            0.001005
                 199,            0.012032,            0.021741,           0.0002606,             0.91957,             0.92693,             0.92125,             0.62734,            0.033239,            0.096532,          0.00038618,           0.0010022,           0.0010022,           0.0010022
