               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.028842,            0.037901,           0.0010336,             0.85861,             0.91024,             0.92164,             0.53069,            0.036061,            0.068099,          0.00079547,           0.0093733,           0.0093733,           0.0093733
                  36,            0.029308,            0.040414,           0.0011344,             0.88531,             0.91979,             0.92113,              0.5412,            0.035649,            0.066109,           0.0009771,           0.0093369,           0.0093369,           0.0093369
                  37,            0.029915,            0.040069,          0.00090241,              0.8882,             0.91189,             0.90128,             0.52346,            0.035794,            0.068349,          0.00096192,           0.0092995,           0.0092995,           0.0092995
                  38,            0.029156,             0.04103,           0.0011733,             0.90867,             0.90046,             0.91087,             0.51379,            0.035366,            0.067213,          0.00094068,           0.0092611,           0.0092611,           0.0092611
                  39,            0.028008,            0.039718,            0.001044,             0.91003,             0.91048,             0.91482,             0.54397,            0.034687,            0.065941,          0.00088165,           0.0092219,           0.0092219,           0.0092219
                  40,            0.028134,            0.040112,            0.001008,             0.88744,             0.92404,             0.90361,             0.55698,            0.035147,            0.066281,          0.00080639,           0.0091817,           0.0091817,           0.0091817
                  41,            0.027859,            0.039081,           0.0013101,              0.8929,              0.9328,             0.92011,              0.5619,            0.035471,            0.064261,          0.00075719,           0.0091406,           0.0091406,           0.0091406
                  42,            0.028007,            0.036957,           0.0012653,             0.91785,             0.90184,             0.91029,             0.55429,            0.035101,            0.066279,          0.00088909,           0.0090986,           0.0090986,           0.0090986
                  43,            0.027425,            0.039117,           0.0010612,             0.85803,             0.89955,             0.89949,             0.54126,             0.03559,            0.070732,          0.00072202,           0.0090557,           0.0090557,           0.0090557
                  44,            0.028116,            0.037894,          0.00084995,             0.89591,             0.90116,             0.91229,             0.51346,            0.035965,            0.071248,          0.00079327,           0.0090119,           0.0090119,           0.0090119
                  45,            0.029136,            0.039439,          0.00089724,               0.897,             0.91757,             0.91959,             0.52341,            0.034356,            0.067046,          0.00085575,           0.0089673,           0.0089673,           0.0089673
                  46,            0.029619,            0.038278,          0.00086691,             0.91658,             0.91642,              0.9202,             0.53136,            0.035204,            0.069452,          0.00091861,           0.0089218,           0.0089218,           0.0089218
                  47,            0.027925,            0.037981,          0.00096706,              0.8696,             0.91475,             0.92184,             0.53073,             0.03426,            0.068734,           0.0010355,           0.0088755,           0.0088755,           0.0088755
                  48,              0.0275,            0.037392,          0.00073944,             0.90675,             0.91656,             0.92204,              0.5572,            0.035677,            0.071456,           0.0008785,           0.0088283,           0.0088283,           0.0088283
                  49,            0.027885,            0.039446,           0.0012338,             0.90546,             0.92237,             0.92254,             0.58271,            0.034766,            0.067141,          0.00097668,           0.0087804,           0.0087804,           0.0087804
                  50,            0.025479,            0.035974,          0.00099407,             0.88726,             0.91522,             0.90568,               0.569,            0.034983,            0.070324,          0.00087755,           0.0087316,           0.0087316,           0.0087316
                  51,            0.026106,            0.035882,          0.00074535,               0.892,             0.92382,             0.91378,             0.49968,            0.036888,            0.068045,          0.00074412,            0.008682,            0.008682,            0.008682
                  52,            0.027185,            0.037027,           0.0010774,             0.88115,             0.91913,             0.89048,             0.52509,            0.036964,            0.071736,          0.00095284,           0.0086316,           0.0086316,           0.0086316
                  53,            0.025693,            0.037464,          0.00074889,              0.8912,             0.93334,              0.9209,             0.54655,            0.035258,            0.070893,          0.00090346,           0.0085805,           0.0085805,           0.0085805
                  54,             0.02651,            0.036795,          0.00093581,             0.90741,             0.91598,             0.92604,             0.54646,            0.033995,            0.067247,          0.00089894,           0.0085286,           0.0085286,           0.0085286
                  55,            0.025091,            0.035548,          0.00084886,             0.90593,             0.92887,             0.92267,             0.54685,            0.034567,            0.067996,          0.00095127,           0.0084759,           0.0084759,           0.0084759
                  56,            0.027312,            0.038569,          0.00082727,             0.90688,             0.94097,             0.92467,              0.5312,             0.03409,             0.06824,          0.00065157,           0.0084225,           0.0084225,           0.0084225
                  57,            0.026775,            0.035385,          0.00070158,             0.89814,             0.93475,             0.92224,              0.5663,            0.034144,            0.070718,           0.0006133,           0.0083684,           0.0083684,           0.0083684
                  58,            0.025055,            0.036118,           0.0008472,             0.90523,             0.91381,             0.92431,             0.57071,            0.034918,            0.072805,          0.00078694,           0.0083136,           0.0083136,           0.0083136
                  59,            0.025884,            0.035066,          0.00074672,             0.91917,             0.93242,              0.9324,             0.55286,            0.034119,            0.072991,          0.00083701,           0.0082581,           0.0082581,           0.0082581
                  60,            0.025574,            0.036565,          0.00075673,             0.91958,             0.92561,              0.9232,             0.55203,             0.03337,            0.070086,           0.0009286,           0.0082019,           0.0082019,           0.0082019
